#ID	FORM	REVERTED	LEMMA	UPOS	FEATS	PPM	TRANSLIT	ANNOTATION	COMMENT
146	douzaine	eniazuod	douzaine	NOUN	Gender=Fem|Number=Sing	8.3	douzaine	douz+aine	
147	sers	sres	sertir	VERB	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	7.9	sers	sers	
148	rétablir	rilbatér	rétablir	VERB	VerbForm=Inf	7.8	retablir	r+établir	
150	défaite	etiaféd	défaite	NOUN	Gender=Fem|Number=Sing	7.2	defaite	dé+faite	Možná stačá défait+e
152	gros	sorg	gros	ADJ	Gender=Masc	6.7	gros	gros	
154	pressé	ésserp	presser	VERB	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	6.5	presse	pressé	
155	alison	nosila	Alison	PROPN		6.1	alison	alison	
156	tentatives	sevitatnet	tentative	NOUN	Gender=Fem|Number=Plur	5.9	tentatives	tentat+ive+s	
157	annulé	élunna	annuler	VERB	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act	5.9	annule	a+nnulé	
158	planètes	setènalp	planète	NOUN	Gender=Fem|Number=Plur	5.5	planetes	planète+s	
160	puis	siup	pouvoir	VERB		5.2	puis	puis	
161	entreprendre	erdnerpertne	entreprendre	VERB	VerbForm=Inf	5.0	entreprendre	entre+prendre	
162	éventuels	sleutnevé	éventuel	ADJ	Gender=Masc|Number=Plur	4.6	eventuels	éventu+el+s	
163	peggy	yggep	Peggy	PROPN		4.5	peggy	peggy	
164	deb	bed	Deb	PROPN		4.3	deb	deb	
167	illégalement	tnemelagélli	illégalement	ADV		3.9	illegalement	il+légal+ement	
168	laquelle	elleuqal	lequel	PRON	Person=3|PronType=Int	3.8	laquelle	la+quell+e	
169	réparé	érapér	réparer	VERB	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act	3.7	repare	réparé	
170	hormis	simroh	hormis	ADP		3.7	hormis	hormis	
172	représentante	etnatnesérper	représentante	NOUN	Gender=Fem|Number=Sing	3.4	representante	re+présent+ant+e	
173	explicitement	tnemeticilpxe	explicitement	ADV		3.4	explicitement	explicite+ment	
174	approchait	tiahcorppa	approcher	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	3.2	approchait	a+pproch+ait	
176	polonais	sianolop	polonais	ADJ	Gender=Masc|Number=Plur	2.7	polonais	polonais	
177	tentait	tiatnet	tenter	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	2.5	tentait	tentait	
179	chantes	setnahc	chanter	VERB	Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin	2.4	chantes	chantes	
180	intime	emitni	intime	ADJ	Gender=Fem|Number=Sing	2.4	intime	intime	
181	mandataire	eriatadnam	mandataire	NOUN	Gender=Masc|Number=Sing	2.3	mandataire	mandat+aire	
182	sieur	rueis	sieur	NOUN	Gender=Masc|Number=Sing	2.2	sieur	sieur	
184	denny	ynned	Denny	PROPN		2.1	denny	denny	
185	gob	bog	Gob	PROPN		2.0	gob	gob	
186	souhaitant	tnatiahuos	souhaiter	VERB	Tense=Pres|VerbForm=Part	1.9	souhaitant	souhait+ant	
188	belle-fille	ellif-elleb	belle-fille	NOUN	Gender=Fem|Number=Sing	1.8	belle-fille	belle+-fille	
189	changerai	iaregnahc	changer	VERB	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin	1.7	changerai	chang+erai	
190	dépourvu	uvruopéd	dépourvoir	VERB	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	1.7	depourvu	dé+pourvu	
191	multilatérale	elarétalitlum	multilatéral	ADJ	Gender=Fem|Number=Sing	1.6	multilaterale	multi+latéral+e	
192	tri	irt	tri	NOUN	Gender=Masc|Number=Sing	1.6	tri	tri	
193	doutez	zetuod	douter	VERB	Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin	1.5	doutez	dout+ez	
194	libère	erèbil	libérer	VERB	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	1.5	libere	libère	
195	connus	sunnoc	connu	ADJ	Gender=Masc|Number=Plur	1.4	connus	connus	
197	callahan	nahallac	Callahan	PROPN		1.3	callahan	callahan	
199	cathéter	retéhtac	cathéter	NOUN	Gender=Masc|Number=Sing	1.1	catheter	cathéter	
200	ukrainiens	sneiniarku	ukrainien	ADJ	Gender=Masc|Number=Plur	1.1	ukrainiens	ukrain+ien+s	
