будем	буд+е+м	буд+ем
востоке	восток+е	вос+ток+е
визита	виз+ит+а	виз+ит+а
убийство	у+бий+ств+о	у+би+й+ств+о
часов	час+ов	час+ов
пожалуйста	по+жал+уй+ста	по+жал+уй+ста
дней	дн+ей	дн+ей
всё	вс+ё	вс+ё
нет	нет	нет
могла	мог+л+а	могл+а
здорова	здоров+а	здоров+а
кровь	кровь	кров+ь
зря	зр+я	зр+я
получи	по+луч+и	по+луч+и
все	вс+е	вс+е
благодарим	благ+о+дар+им	благо+дар+им
совещании	со+вещ+а+н+и+и	со+вещ+а+ни+и
илай	илай	ил+ай
жан	жан	жан
старые	стар+ые	стар+ые
другой	друг+ой	друг+ой
жизнь	жи+знь	жи+зн+ь
него	н+его	не+го
приобрести	при+об+рес+ти	при+об+рес+ти
слева	с+лев+а	с+лев+а
прямо	прям+о	прям+о
расскажи	рас+с+каж+и	рас+скаж+и
эта	э+т+а	эт+а
этому	э+т+ому	эт+ому
журнале	журнал+е	журнал+е
пять	пять	пят+ь
счет	с+чет	с+чет
видел	вид+е+л	видел
сэма	сэм+а	сэм+а
заметит	за+мет+и+т	за+мет+ит
твоей	т+во+ей	тв+о+ей
через	через	через
беспорядков	бес+по+ряд+к+ов	бес+по+ряд+к+ов
собираешься	со+бир+а+е+шь+ся	со+бир+а+ешь+ся
пришел	при+ш+е+л	при+шел
оставлю	о+ставл+ю	о+ста+в+л+ю
привыкнуть	при+вык+ну+ть	при+вык+ну+ть
одной	одн+ой	одн+ой
победа	по+бед+а	по+бед+а
состояние	со+стоя+н+и+е	со+сто+я+ни+е
правитель	прав+и+тель	прав+и+тел+ь
дай	да+й	да+й
какие-то	к+ак+ие+-то	какие+-+то
перья	пер+ь+я	пер+ья
утешение	у+теш+е+н+и+е	у+теш+ен+и+е
нем	н+ем	нем
использую	ис+польз+у+ю	ис+по+льз+ую
свадьбе	свадь+б+е	сва+д+ь+б+е
одни	одн+и	о+дн+и
убийстве	у+бий+ств+е	у+би+й+ств+е
ему	ему	ему
связь	с+вяз+ь	с+вяз+ь
люди	люд+и	люд+и
полностью	полн+ость+ю	полн+ост+ь+ю
те	т+е	те
клана	клан+а	клан+а
пол	пол	пол
слова	слов+а	слов+а
вообще	во+общ+е	во+общ+е
того	т+ого	тог+о
понятия	по+н+я+т+и+я	по+ня+т+и+я
верю	вер+ю	вер+ю
почти	по+чт+и	по+чт+и
говорится	говор+и+т+ся	говор+ит+ся
добро	добр+о	добр+о
хороши	хорош+и	хорош+и
ой	ой	ой
их	их	их
большим	боль+ш+им	бол+ь+ш+им
всем	вс+ем	вс+ем
всю	вс+ю	вс+ю
десяти	десят+и	десят+и
правильно	прав+иль+н+о	прав+и+л+ь+н+о
решение	реш+е+н+и+е	реш+ени+е
буду	буд+у	буду
значит	знач+и+т	зна+ч+ит
скажу	с+каж+у	скаж+у
