spectacula	spect+a+cul+a	spectacul+a
morbum	morb+um	morb+um
infectionis	in+fect+ion+is	infec+tion+is
instruxerunt	in+strux+er+unt	in+strux+erunt
relatae	re+lat+ae	re+lat+ae
habuerunt	hab+u+er+unt	habu+erunt
easdem	eas+dem	eas+dem
dicionem	dic+ion+em	dic+ion+em
extra	extr+a	extr+a
pluviae	pluvi+ae	pluv+iae
