niemanden	nie+man+d+en	niemand+en
einheitliche	ein+heit+lich+e	ein+heit+liche
mal	mal	mal
ersichtlich	er+sicht+lich	er+sich+tlich
dies	d+ie+s	dies
nennen	nenn+en	nenn+en
gehört	ge+hör+t	gehört
großen	groß+en	groß+en
je	je	je
ohne	ohne	ohne
soweit	so+weit	so+weit
betreffend	be+treff+e+nd	betreffend
vorwerfen	vor+werf+en	vor+werf+en
unterlagen	unter+lag+en	unter+lag+en
schwarz	schwarz	schwarz
sich	s+ich	sich
völkerrechts	völk+er+recht+s	völker+recht+s
möchte	möch+t+e	möchte
klagen	klag+en	klag+en
insbesondere	in+s+be+sonder+e	insbesondere
mr.	mr.	mr+.
einst	ein+st	einst
gelesen	ge+les+en	ge+lesen
am	a+m	am
jenen	jen+en	jen+en
offiziell	offizi+ell	offizi+ell
pilze	pilz+e	pilz+e
diskussionen	diskussion+en	diskuss+ion+en
mitglieder	mit+glied+er	mit+glied+er
großem	groß+em	großem
ob	ob	ob
deine	d+ein+e	dein+e
geht	geh+t	geht
lange	lang+e	lange
riskieren	risk+i+er+en	risk+ier+en
hat	ha+t	hat
explodiert	ex+plod+ier+t	explodiert
schönheit	schön+heit	schön+heit
allen	all+e+n	all+en
streben	streb+en	streb+en
erforderlich	er+ford+er+lich	er+forder+lich
gesiegt	ge+sieg+t	gesiegt
regionalen	region+al+en	reg+ion+al+en
stellen	st+ell+en	stell+en
weg	weg	weg
okay	okay	okay
schuldig	schuld+ig	schuld+ig
uns	uns	uns
jung	jung	jung
her	h+er	her
stand	sta+nd	stand
diese	d+ie+s+e	dies+e
schlecht	schlecht	schlecht
kollegen	kolleg+en	kol+leg+en
china	china	china
denn	d+enn	denn
ihre	ihr+e	ihr+e
arbeitet	arbeit+e+t	arbeitet
los	los	los
erstenmal	erst+en+mal	erst+en+mal
unschuldig	un+schuld+ig	un+schuld+ig
bestehen	be+st+eh+en	be+steh+en
übernahme	über+nahm+e	über+nahm+e
beide	bei+d+e	beide
ansprüche	an+sprüch+e	an+sprüch+e
mitgemacht	mit+ge+mach+t	mitgemacht
kooperation	ko+oper+a+tion	kooper+ation
gewisse	ge+wiss+e	ge+wisse
existieren	exist+i+er+en	exist+ier+en
zwischen	zwis+chen	zwischen
felix	fel+ix	felix
ausgezahlt	aus+ge+zahl+t	ausgezahlt
heftig	heft+ig	heftig
war's	w+ar'+s	war's
anderen	an+der+en	ander+en
festgesetzt	fest+ge+setz+t	fest+gesetzt
davon	da+von	da+von
gibt	gib+t	gibt
preis	preis	preis
legen	leg+en	leg+en
muss	muss	muss
gerichtshof	ge+richt+s+hof	ge+richt+s+hof
unten	unten	unten
mann	mann	mann
weißt	weiß+t	weißt
